S100A8|CAGA|MRP8 S100A9|CAGB|MRP14
ALIEN NR2F1|TFCOUP1|ERBAL3|EAR3
RAD9 BCL2
EIF-4G2 EIF-4E
EIF-4E EIF-4G2
EIF-4E EIF-4G1
EIF-4G2 EIF-4A
EIF-4G2 EIF-3
EIF-4G1 EIF-4A
EIF-4G1 EIF-3
EIF-4G1 EIF-4E
EIF-4G2 EIF-4E
PAX5 TBP|TFIID|TF2D
PAX5 RB1
TNFRSF6|APT1|FAS|FAS1 CASP8|MCH5
TNFRSF6|APT1|FAS|FAS1 FADD|MORT1
STAT5A|STAT5 MAPK3|PRKM3|ERK1|MAPK1|PRKM1|ERK2
MAPK3|PRKM3|ERK1|MAPK1|PRKM1|ERK2 STAT5A|STAT5
MAPK3|PRKM3|ERK1|MAPK1|PRKM1|ERK2 STAT5A|STAT5
KCNJ11 ABCC9|SUR2
KCNJ11 ABCC9|SUR2
KCNJ11 ABCC8|SUR1|SUR
KCNJ11 ABCC8|SUR1|SUR
PURA|PUR1 NSEP1|YB1
NSEP1|YB1 PURA|PUR1
PURA|PUR1 NSEP1|YB1
PURA|PUR1 NSEP1|YB1
NSEP1|YB1 PURA|PUR1
NSEP1|YB1 PURA|PUR1
NSEP1|YB1 PURA|PUR1
NSEP1|YB1 PURA|PUR1
GHR GHR
GHR GHR
VHL CUL2
VHL VHL
VHL CUL2
PSEN2|PSNL2|AD4|PS2|STM2 APP
PSEN2|PSNL2|AD4|PS2|STM2 APP
PSEN2|PSNL2|AD4|PS2|STM2 APP
PSEN2|PSNL2|AD4|PS2|STM2 APP
PSEN2|PSNL2|AD4|PS2|STM2 APP
PSEN1|PSNL1|AD3|PS1 APP
PSEN1|PSNL1|AD3|PS1 APP
APP APBA3|MINT3|X11L2
APBA3|MINT3|X11L2 APP
APP APBA3|MINT3|X11L2
APP APBA3|MINT3|X11L2
PSEN1|PSNL1|AD3|PS1 CTNND2|NPRAP
PSEN1|PSNL1|AD3|PS1 CTNND2|NPRAP
PSEN1|PSNL1|AD3|PS1 CTNND2|NPRAP
PSEN1|PSNL1|AD3|PS1 CTNND2|NPRAP
CTNND2|NPRAP PSEN1|PSNL1|AD3|PS1
PSEN1|PSNL1|AD3|PS1 PKP4
PSEN1|PSNL1|AD3|PS1 CTNNB1
CTNNB1 PSEN1|PSNL1|AD3|PS1
PSEN2|PSNL2|AD4|PS2|STM2 CTNND2|NPRAP
PSEN2|PSNL2|AD4|PS2|STM2 CTNNB1
STAT1 PLAUR|UPAR|MO3
PLAUR|UPAR|MO3 TYK2
PLAUR|UPAR|MO3 JAK1
CTNND2|NPRAP CDH2|CDHN|NCAD
EPB41|E41 CLNS1A
EPB41|E41 CLNS1A
RELA NFKBIA
NOLC1 COIL
NOLC1 COIL
PSEN1|PSNL1|AD3|PS1 PSEN1|PSNL1|AD3|PS1
PSEN1|PSNL1|AD3|PS1 PSEN1|PSNL1|AD3|PS1
PSEN2|PSNL2|AD4|PS2|STM2 PSEN2|PSNL2|AD4|PS2|STM2
TEGT|BI1 BCL2
TEGT|BI1 BCL2
TEGT|BI1 BAD
TEGT|BI1 BAD
SCAMP1 EGFR
SCAMP3 EGFR
ARHA|ARH12|RHOA|RHO12 KCNA2
SGCD SGCD
SGCD SGCA|ADL|DAG2
SGCD SGCB
SGCD SGCG
GNB2L1 SRC
SRC GNB2L1
SRC GNB2L1
GNB2L1 SRC
GNB2L1 SRC
FANCC TRA1
FANCC TRA1
POL CDK2
CDK2 POL
CD47 ITGA2
CD47 ITGB1
USA-CYP PRPF4
GRB2|ASH HNRPC
HNRPC GRB2|ASH
AR|NR3C4|DHTR CBP
LHCGR CANX
CANX LHCGR
FSHR CANX
TGFBR1 TGFBR1
TGFBR1 TGFBR1
TGFBR2 TGFBR2
IRF3 CITED1
IRF3 CITED1
HGCN5 G22P1
G22P1 HGCN5
HGCN5 G22P1
G22P1 XRCC5|G22P2
HGCN5 XRCC5|G22P2
NMI MYC
NMI MYC
NMI MYCN
NMI MAX
NMI FOS
TNFRSF1A|TNFR1|TNFAR TRADD
MAD1 MAX
MAX MAD1
MYC MAX
MAX MYC
RANK TRAF2|TRAP3
RANK TRAF6
CRKL STAT5A|STAT5
CRKL STAT5A|STAT5
GRB2|ASH RET/PTC2
RET/PTC2 GRB2|ASH
GRB2|ASH RET/PTC2
RET GRB2|ASH
GRB2|ASH RET
GRB2|ASH RET
BAK VDAC|VDAC1
BAX VDAC|VDAC1
VDAC|VDAC1 BAX
TOP1 PSF
TOP1 PSF
TOP1 PSF
VHL CUL2
STAT1 PIAS1
GNA11|GA11 RGS3
PIAS1 STAT1
PIAS3 STAT3
HIRA HIRIP1
HIRIP1 HIRA
HIRA HIRIP1
HIRA HIRIP1
H4F2 HIRA
HIRA HIRIP3
HIRIP3 HIRA
HIRIP3 HIRIP1
HIRIP5 HIRA
HIRA HIRIP5
PURA|PUR1 RB1
RGS3 GNA11|GA11
RGS3 GNAI3
SP1|TSFP1 PLZF
SP1|TSFP1 PLZF
PLZF SP1|TSFP1
PLZF SP1|TSFP1
PLZF SP1|TSFP1
TAF4|TAF4A|TAF2C1|TAF2C|TAFII135|TAFII130 TAF12|TAF2J|TAFII20|TAF15
TAF12|TAF2J|TAFII20|TAF15 TAF4|TAF4A|TAF2C1|TAF2C|TAFII135|TAFII130
TAF4|TAF4A|TAF2C1|TAF2C|TAFII135|TAFII130 TAF12|TAF2J|TAFII20|TAF15
TAF4|TAF4A|TAF2C1|TAF2C|TAFII135|TAFII130 TAF12|TAF2J|TAFII20|TAF15
TAF12|TAF2J|TAFII20|TAF15 TAF4|TAF4A|TAF2C1|TAF2C|TAFII135|TAFII130
TAF4|TAF4A|TAF2C1|TAF2C|TAFII135|TAFII130 TAF12|TAF2J|TAFII20|TAF15
TCF21|POD1 TCF12|HTF4|HEB
TITF1|TTF1|NKX2-1|NKX2A RARA|NR1B1
TITF1|TTF1|NKX2-1|NKX2A NCOA2|TIF2
POR1 ARF1
PRKCABP|PICK1 ARF1
PRKCABP|PICK1 ARF3
ATM AP1B1
BCL2L1|BCL2L|BCLX CFLAR|CLARP|MRIT|CASH
BCL2 RAD9
BCL2 RAD9
RAD9 BCL2
BCL2L1|BCL2L|BCLX RAD9
BCL2L1|BCL2L|BCLX RAD9
RAD9 BCL2L1|BCL2L|BCLX
BAX BCL2
BAD BCL2L1|BCL2L|BCLX
HSCDC6|HSCDC18|CDC6 PR48
HSCDC6|HSCDC18|CDC6 PR48
HSCDC6|HSCDC18|CDC6 PR48
PPP2R1A PR48
PPP2R1A PPP2R3A|PPP2R3
HSCDC6|HSCDC18|CDC6 PPP2R3A|PPP2R3
CD9|MIC3 ITGA5|FNRA
CD9|MIC3 ITGA3
CD9|MIC3 ITGA2
CD9|MIC3 ITGB1
ITGB1 CD9|MIC3
TRAF3|CRAF1|CAP1 TNFRSF7|CD27
SGCG ABPL|FLN2
ABPL|FLN2 SGCG
SGCG ABPL|FLN2
SGCD ABPL|FLN2
ABPL|FLN2 SGCD
ABPL|FLN2 SGCD
SGCD ABPL|FLN2
PRKCQ|PRKCT PICOT
PICOT PRKCQ|PRKCT
CD38 LCK|Lck
PICOT PRKCQ|PRKCT
PICOT PRKCZ|PKC2
CD38 LCK|Lck
PICOT PRKCQ|PRKCT
NOT1 NOT2
NOT1 NOT4-N
NOT1 CNOT8|CALIF|POP2
NOT3 CNOT8|CALIF|POP2
CNOT8|CALIF|POP2 NOT3
Dvl2 TCTEL1
NPM|NPM1|ALK PLCG2
PLCG2 NPM|NPM1|ALK
PLCG2 PLCG2
Dvl2 PPM1A
DVL1 PPM1A
